"Age","Lili","Pasdefond","Francis","Clo","FFmean"
800,6.90598009766206,4.73551139347494,4.87318481610092,2.59239376384817,4.77676751777152
810,6.92738699477995,4.73408460022862,4.89473963270167,2.57348200333514,4.78242330776135
820,6.94796217848529,4.73326277016517,4.91645408658384,2.55488646878465,4.78814137600474
830,6.96766211118549,4.73294163232765,4.93832155287934,2.53659644080067,4.79388043429829
840,6.98626554593074,4.73312136314529,4.96036122886463,2.51861051752735,4.799589663867
850,7.00374321865814,4.73389578295071,4.98254738894027,2.50096697210308,4.80528834066305
860,7.02034095804088,4.73528541757184,5.00490918425165,2.48362684993729,4.81104060245042
870,7.03598096461898,4.73715642794928,5.02742450531952,2.46663289746782,4.8167986988389
880,7.05030933970542,4.73950573618399,5.05010536651266,2.44996654791656,4.82247174757966
890,7.06364671534789,4.74239344378861,5.07295534826551,2.4336302638269,4.82815644280723
900,7.07604645805577,4.74588881109599,5.09596128239517,2.41765806655546,4.8338886545256
910,7.08734162628126,4.74983395520246,5.11915342235465,2.40201027732082,4.8395848202898
920,7.09732331474098,4.7542229550122,5.14250200798852,2.38673399701956,4.84519556869032
930,7.10636487330367,4.75908441302169,5.16603558802067,2.37180245913862,4.85082183337116
940,7.11440814297595,4.76452774373566,5.18974020868764,2.35722294895142,4.85647476108767
950,7.12115442422845,4.77037838986077,5.21362149401297,2.34302420682054,4.86204462873068
960,7.12675985731741,4.77662806557366,5.2376932793279,2.32916691448133,4.86756202917508
970,7.13140874469455,4.78327809129965,5.26193365484768,2.31570244533184,4.87308073404343
980,7.13500424404986,4.79046610358585,5.28638388692562,2.30259556690649,4.87861245036696
990,7.13714613574437,4.79800970588701,5.31100903285998,2.28985907635118,4.88400598771063
1000,7.13833180649875,4.80589902716921,5.33583575939158,2.27751556815506,4.88939554030365
1010,7.1385257842812,4.81412658042749,5.36085819614009,2.26552691957562,4.8947593701061
1020,7.13750292893492,4.82280430001513,5.38607291500114,2.2539485728353,4.90008217919662
1030,7.13523698859058,4.83179170911801,5.41150498910178,2.24273665164228,4.90531758461317
1040,7.13202579738195,4.84106443049657,5.43712473133746,2.23190989650319,4.91053121392979
1050,7.12780377785079,4.85061292713794,5.46297227912083,2.22148401268969,4.91571824919981
1060,7.12222375342928,4.86050867114067,5.48901834687339,2.21142271626317,4.92079337192663
1070,7.11562653799054,4.87066177069575,5.51528110263974,2.20178514366444,4.92583863874762
1080,7.10809160912989,4.88103429562555,5.54176344372704,2.19251873175028,4.93085202005819
1090,7.09947620279813,4.89161521804186,5.56844979602712,2.18364833122199,4.93579738702228
1100,7.08957974683365,4.90244179718833,5.59537655813005,2.17518213915659,4.94064506032715
1110,7.07879454494258,4.91346120749604,5.62250480029709,2.16708620924341,4.94546169049478
1120,7.06708084614288,4.92463041762557,5.64987017595702,2.15942278126578,4.95025105524781
1130,7.05418570960835,4.93593744197511,5.67745048239242,2.15213077830446,4.95492610307009
1140,7.04026002499802,4.94739274647904,5.7052518729497,2.14524104033168,4.95953642118961
1150,7.02549447185857,4.95896536793405,5.73328595711082,2.13875380597099,4.96412490071861
