"Age","Castor","Gagnon","Perche","Desperiers","Labelle","FFmean"
2190,8.26091430812473,6.78469383492052,NA,NA,8.14860623668451,7.73140479324326
2200,8.25207881644891,6.78936172675332,NA,NA,8.16981750904718,7.73708601741647
2210,8.24298830711609,6.79383814060733,NA,NA,8.19146058610434,7.74276234460925
2220,8.23365766741308,6.79812344457974,NA,NA,8.21350645136411,7.74842918778564
2230,8.22410449963959,6.80221282866001,NA,NA,8.23596726728951,7.75409486519637
2240,8.21433920633179,6.80610154295761,NA,NA,8.25882546012909,7.7597554031395
2250,8.20437119557884,6.80978206709017,NA,NA,8.28203548496888,7.76539624921263
2260,8.19421029041631,6.81322985032477,NA,NA,8.30559881707596,7.77101298593901
2270,8.18386333124513,6.8164602688058,NA,NA,8.32952121646427,7.7766149388384
2280,8.17333364139958,6.81947072578887,NA,NA,8.3537459479988,7.78218343839575
2290,8.16264074955832,6.82225686658232,NA,NA,8.3782669508361,7.78772152232558
2300,8.15180092458715,6.82481408200769,NA,NA,8.4030998823126,7.79323829630248
2310,8.14082617431641,6.82713273123079,NA,NA,8.42819065440819,7.79871651998513
2320,8.12972890907292,6.82918980163496,NA,NA,8.45352703353567,7.80414858141452
2330,8.11852193505553,6.83100516092559,NA,NA,8.47911438282997,7.8095471596037
2340,8.1072141852072,6.83257495282273,NA,NA,8.50492090253939,7.81490334685644
2350,8.09582124887245,6.83389542383952,NA,NA,8.53092334928745,7.82021334066648
2360,8.08436124891719,6.83496190323674,NA,NA,8.55711889939207,7.82548068384867
2370,8.07284963556254,6.83576090954158,NA,NA,8.58349125383275,7.83070059964562
2380,8.06130114030531,6.83627816357616,NA,NA,8.61001076324667,7.83586335570938
2390,8.04973081718721,6.83653142893338,NA,NA,8.63666853624008,7.84097692745356
2400,8.03815413336327,6.83651753119034,NA,NA,8.66345694309647,7.84604286921669
2410,8.02658909573931,6.83623341010205,NA,NA,8.69034470890644,7.85105573824926
2420,8.01505256705181,6.83567434761448,NA,NA,8.71731937341248,7.85601542935959
2430,8.00356073758121,6.83482258005226,NA,NA,8.74437283081352,7.860918716149
2440,7.99213005754678,6.83367446849468,NA,NA,8.77147927204698,7.86576126602948
2450,7.98077717314405,6.83224450094642,NA,NA,8.79862366603422,7.87054844670823
2460,7.96951890207406,6.83053024028494,NA,NA,8.82579200511661,7.87528038249187
2470,7.95837774170875,6.82852936929241,NA,NA,8.85296592076334,7.87995767725483
2480,7.94737495499686,6.82623713447071,NA,NA,8.88012923437373,7.88458044128044
2490,7.93652367150031,6.82363121998264,NA,NA,8.90726420081516,7.8891396974327
2500,7.92583906691253,6.82072000468488,NA,NA,8.93435288630214,7.89363731929985
2510,7.91533841013052,6.81751373922752,NA,NA,8.96138263457375,7.89807826131059
2520,7.90503896191564,6.81401075101419,NA,NA,8.98833420716211,7.90246130669732
2530,7.89495794330835,6.81020949029369,NA,NA,9.01518294049142,7.90678345803116
2540,7.88513190152675,6.80610519454033,NA,NA,9.04192402633569,7.91105370746759
2550,7.87557079963656,6.80167092622562,NA,NA,9.06853819515052,7.9152599736709
2560,7.86628337003987,6.79692791000156,NA,NA,9.09499205493785,7.91940111165976
2570,7.85728562614659,6.79188145727234,NA,NA,9.12128605508198,7.92348437950031
2580,7.84859402221637,6.7865306772487,NA,NA,9.14740309391128,7.92750926445878
2590,7.84022475875619,6.78087480494621,NA,NA,9.17330843397628,7.93146933255956
2600,7.83220374092189,6.77490912695733,NA,NA,9.19899459071167,7.93536915286363
2610,7.82456165948277,6.76860224372397,NA,NA,9.22445366799207,7.93920585706627
2620,7.8172997087694,6.76198850037037,NA,NA,9.24965206427927,7.94298009113968
2630,7.81042463279005,6.75506785899766,NA,NA,9.27456684526388,7.94668644568386
2640,7.80395070184343,6.74784023420207,NA,NA,9.29920440633643,7.95033178079398
2650,7.79789170981949,6.74030496827624,NA,NA,9.32353490393579,7.95391052734384
2660,7.7922609397867,6.73245350660254,NA,NA,9.34751223310967,7.9574088931663
2670,7.78709943454773,6.72426661442859,NA,NA,9.3711609571986,7.96084233539164
2680,7.78241361328906,6.71577385262646,NA,NA,9.39445487726442,7.96421411439331
2690,7.77819847148716,6.70697584415247,NA,NA,9.41733356880254,7.96750262814739
2700,7.77446096623113,6.69787334973479,NA,NA,9.43982355615073,7.97071929070555
2710,7.77121112598196,6.68846588413558,NA,NA,9.46190744334075,7.9738614844861
2720,7.76845826402822,6.67874115803398,NA,NA,9.48352909090745,7.97690950432322
2730,7.76621843580879,6.66869286294777,NA,NA,9.50469079036454,7.97986736304037
2740,7.7645303606492,6.65834487386538,NA,NA,9.52539584637864,7.98275702696441
2750,7.76337857092245,6.64769871011744,NA,NA,9.54559534131118,7.98555754078369
2760,7.76275435120783,6.636756039767,NA,NA,9.5652594388575,7.98825660994411
2770,7.76266277715842,6.6255166942107,NA,NA,9.58441751665081,7.99086566267331
2780,7.76310804528937,6.61396516645132,NA,NA,9.6030308973494,7.99336803636336
2790,7.76409345219449,6.60210777536023,NA,NA,9.62102977905874,7.99574366887116
2800,7.76564785267786,6.58996263793914,NA,NA,9.63847245413462,7.99802764825054
2810,7.76777550239144,6.57753224469655,NA,NA,9.65532788390992,8.0002118769993
2820,7.77045514503684,6.56481924759397,NA,NA,9.67151040280281,8.00226159847787
2830,7.7736783548399,6.55182399288718,NA,NA,9.68707308131027,8.00419180967912
