"Age","Castor","Gagnon","Perche","Desperiers","Labelle","BBmean"
1700,0.889206040790919,0.0172313335757366,NA,NA,1.00791338839873,0.638116920921795
1710,0.855810572877077,0.0270127601051697,NA,NA,1.02495685485593,0.635926729279393
1720,0.819520491047069,0.0376126352412283,NA,NA,1.04441514162129,0.633849422636528
1730,0.780403844946973,0.0491403368822527,NA,NA,1.06642565126963,0.631989944366284
1740,0.738528684222866,0.0617052429265836,NA,NA,1.08861588644905,0.629616604532833
1750,0.693963058520822,0.0754167312725618,NA,NA,1.10917950660784,0.62618643213374
1760,0.646874579136364,0.0903841798185277,NA,NA,1.12815151356884,0.621803424174577
1770,0.600987569195011,0.106716966462822,NA,NA,1.1455669091549,0.617757148270912
1780,0.558093571882089,0.124524469103785,NA,NA,1.16146069518888,0.614692912058252
1790,0.51809652755956,0.143916065639758,NA,NA,1.17586787349362,0.612626822230979
1800,0.480900376589386,0.165001133969081,NA,NA,1.18882344589197,0.611574985483478
1810,0.44640905933353,0.187889051990095,NA,NA,1.20036241420677,0.611553508510132
1820,0.414526516153953,0.212652781941114,NA,NA,1.21051978026088,0.612566359451984
1830,0.385156687412619,0.237981364722444,NA,NA,1.21933054587715,0.614156199337405
1840,0.358203513471488,0.263039426042304,NA,NA,1.22682971287842,0.616024217464072
1850,0.333570934692524,0.287643136322489,NA,NA,1.23305228308755,0.618088784700854
1860,0.311162891437688,0.311608665984796,NA,NA,1.23803325832738,0.620268271916621
1870,0.290883324068943,0.334752185451023,NA,NA,1.24180764042076,0.622481049980241
1880,0.27263617294825,0.356889865142966,NA,NA,1.24441043119054,0.624645489760584
1890,0.256325378437572,0.377837875482423,NA,NA,1.24587663245956,0.62667996212652
1900,0.241854880898871,0.397412386891191,NA,NA,1.24610356672429,0.628456944838119
1910,0.22912862069411,0.415429569791066,NA,NA,1.24481208853775,0.629790093007643
1920,0.21704280196447,0.431705594603846,NA,NA,1.24195352259126,0.630233973053192
1930,0.204483118676844,0.446056631751327,NA,NA,1.23748607564018,0.629341942022783
1940,0.19165007646662,0.458298851655307,NA,NA,1.23136795443987,0.627105627520597
1950,0.178746727923637,0.468248424737582,NA,NA,1.22355736574568,0.623517506135633
1960,0.165976125637736,0.47572152141995,NA,NA,1.21401251631298,0.618570054456889
1970,0.153541322198755,0.480534312124207,NA,NA,1.20269161289713,0.612255749073364
1980,0.141645370196535,0.482649236366798,NA,NA,1.18955286225348,0.604615822938938
1990,0.130491322220915,0.483085914368622,NA,NA,1.1745544711374,0.596043902575645
2000,0.120282230861735,0.482246147439009,NA,NA,1.15765464630424,0.586727674868327
2010,0.111221148708833,0.480338226839713,NA,NA,1.13881159450936,0.576790323352634
2020,0.10351112835205,0.477570443832489,NA,NA,1.11798352250812,0.56635503156422
2030,0.0973552223812262,0.474151089679093,NA,NA,1.09512863705588,0.555544983038733
2040,0.0929564833861999,0.470288455641278,NA,NA,1.070205144908,0.544483361311826
2050,0.0905179639568112,0.466190832980801,NA,NA,1.04317125281984,0.53329334991915
2060,0.0902427166828996,0.462066512959415,NA,NA,1.01455211044127,0.522287113361196
2070,0.0923194279948095,0.458123786838876,NA,NA,0.987197334023136,0.51254684961894
2080,0.0966201102696553,0.454570945880939,NA,NA,0.961590531053181,0.504260529067925
