"Age","Lili","Pasdefond","Francis","Clo","BBmean"
2510,0.363677921869822,0.0608061832811259,0.118418770643111,-0.321697796348522,0.0553012698613844
2520,0.356444527608722,0.0973969630540501,0.11668800556417,-0.305568750643606,0.066240186395834
2530,0.349097190656298,0.130066199265955,0.118385802766927,-0.295785978364215,0.0754408035812411
2540,0.341623179786069,0.158511745763687,0.123287950341451,-0.292515464626017,0.0827268528162977
2550,0.334009763771557,0.182431456394093,0.131170236377809,-0.295923194544676,0.0879220654996958
2560,0.326244211386281,0.201523185004018,0.141808448966068,-0.306175153235859,0.0908501730301271
2570,0.31831379140376,0.215484785440311,0.154978376196297,-0.323437325815233,0.0913349068062836
2580,0.310205772597515,0.224014111549817,0.170455806158562,-0.347875697398465,0.0891999982268572
2590,0.301907423741066,0.226809017179382,0.188016526942931,-0.37965625310122,0.0842691786905398
2600,0.293413815376538,0.223567356175854,0.207436326639472,-0.418944978039166,0.0763681300381747
2610,0.286905498930016,0.213986982386079,0.228490993338252,-0.463378353518043,0.0665012802840763
2620,0.283952655388066,0.197765749656903,0.25095631512934,-0.508116948588933,0.0561394428963441
2630,0.284340464988146,0.178385471676928,0.274608080102801,-0.553180641478117,0.0460383438224395
2640,0.287854107967714,0.16030408964831,0.299222076348705,-0.598723950527232,0.0371640808593743
2650,0.294278764564229,0.143156815936203,0.324574091957118,-0.644901394077918,0.0292770695949081
2660,0.303399615015148,0.126561993541587,0.350439915018109,-0.691867490471811,0.0221335082757583
2670,0.31500183955793,0.110137965465443,0.375632708064662,-0.73977675805055,0.0152489387593714
2680,0.328870618430034,0.0935030747087525,0.398512032981276,-0.788783715155772,0.00802550274107254
2690,0.344791131868917,0.076275664272496,0.419031688555709,-0.839042880129117,0.00026390114200131
2700,0.362548560112038,0.0580740771576548,0.437165635068664,-0.890708771312221,-0.00823012474346619
2710,0.381928083396856,0.0385166563652099,0.452887832800842,-0.943935907046724,-0.0176508336209541
2720,0.402714881960827,0.0172217448961424,0.466172242032947,-0.998878805674262,-0.0281924841960863
2730,0.424694136041412,-0.00619231424856673,0.476992823045682,-1.05569198553648,-0.0400493351744871
2740,0.447476147022057,-0.0321071780679363,0.485323536119749,-1.11450220505735,-0.0534524249958702
2750,0.470617110731229,-0.0602156043270551,0.491138341535851,-1.17486961366272,-0.0683324414306741
2760,0.494222259199167,-0.0892096725498455,0.494411199574691,-1.23584952014103,-0.084106433479254
2770,0.518416321179829,-0.11862693506294,0.49511607051697,-1.29648212475136,-0.100394167029375
2780,0.54332402542717,-0.148025216814034,0.493226914643393,-1.3558076277528,-0.116820476124068
2790,0.569070100695149,-0.176962342750822,0.488717692234661,-1.41286622940444,-0.133010194806364
2800,0.595779275737723,-0.204996137821,0.481562363571478,-1.46669812996537,-0.148588157119293
2810,0.623576279308848,-0.231684426972263,0.471734888934545,-1.51634352969468,-0.163179197105887
2820,0.652585840162481,-0.256585035152306,0.459209228604566,-1.56084262885145,-0.176408148809176
2830,0.68293268705258,-0.279255787308824,0.443959342862244,-1.59923562769476,-0.187899846272191
2840,0.714741548733101,-0.299254508389513,0.42595919198828,-1.63056272648372,-0.197279123537964
2850,0.748137153958003,-0.316139023342067,0.405182736263379,-1.65386412547741,-0.204170814649524
2860,0.783244231481241,-0.329467157114183,0.381603935968241,-1.66818002493491,-0.208199753649902
2870,0.820273681222781,-0.33870184584375,0.355196751383571,-1.67259323914142,-0.208956163094705
2880,0.859726992051003,-0.343696864807873,0.325935142790071,-1.67200924644319,-0.207510994102498
2890,0.901281015359167,-0.345022976805612,0.295600824139202,-1.67028525482103,-0.204606598032069
2900,0.944474350238428,-0.343272261321882,0.268096051144997,-1.66742884472175,-0.199532676165051
2910,0.988845595779942,-0.339036797841597,0.243450461162996,-1.66344759659216,-0.192547084372705
2920,1.03393335107486,-0.33290866584967,0.221551271866065,-1.65834909087909,-0.183943283446957
2930,1.07927621521435,-0.325479944831015,0.202285700927071,-1.65214090802935,-0.174014734179735
2940,1.12441278728956,-0.317342714270545,0.18554096601888,-1.64483062848976,-0.163054897362965
2950,1.16888166639165,-0.309089053653176,0.171204284814358,-1.63642583270713,-0.151357233788575
2960,1.21222145161177,-0.30131104246382,0.159162874986372,-1.62693410112829,-0.139215204248492
2970,1.25397074204107,-0.294600760187391,0.149303954207788,-1.61636301420005,-0.126922269534643
2980,1.29366813677073,-0.289550286308804,0.141514740151473,-1.60472015236922,-0.114771890438956
2990,1.33085223489188,-0.286348633449763,0.135682450490293,-1.59201309608263,-0.102956761037555
3000,1.36508071123418,-0.283819390996841,0.131694302897113,-1.57824942578709,-0.0913234506631598
3010,1.39687589839106,-0.281564267819667,0.129437515044802,-1.56378934022965,-0.079760048653364
3020,1.42681584701244,-0.279277890380525,0.128799304606224,-1.54955852522893,-0.0683053159976967
3030,1.45511275858966,-0.2766548851417,0.129666889254247,-1.535628795963,-0.0568760083151991
3040,1.48197883461402,-0.273389878565475,0.131927486661736,-1.52202605051679,-0.0453774019516277
