depth	min.95	max.95	median	mean
367	6070	6384	6246	6240
367.5	6078	6400	6254	6251
368	6081	6414	6262	6261
368.5	6086	6443	6270	6271
369	6089	6475	6277	6282
369.5	6094	6510	6283	6292
370	6100	6545	6289	6303
370.5	6113	6550	6306	6314
371	6131	6556	6321	6326
371.5	6140	6562	6334	6338
372	6149	6567	6350	6350
372.5	6160	6571	6363	6362
373	6164	6575	6376	6374
373.5	6169	6580	6391	6386
374	6173	6589	6403	6398
374.5	6176	6606	6418	6409
375	6180	6627	6432	6421
375.5	6192	6643	6445	6436
376	6204	6659	6456	6451
376.5	6222	6678	6470	6466
377	6234	6705	6482	6481
377.5	6240	6730	6489	6496
378	6243	6758	6498	6511
378.5	6247	6788	6513	6526
379	6251	6817	6522	6541
379.5	6254	6845	6533	6556
380	6259	6870	6546	6571
380.5	6273	6873	6554	6581
381	6288	6877	6565	6591
381.5	6303	6880	6577	6602
382	6317	6884	6588	6612
382.5	6333	6887	6602	6622
383	6348	6895	6617	6632
383.5	6363	6900	6631	6642
384	6378	6907	6642	6652
384.5	6392	6912	6655	6662
385	6406	6920	6667	6672
385.5	6437	6928	6678	6687
386	6469	6937	6690	6701
386.5	6495	6944	6711	6715
387	6522	6952	6727	6730
387.5	6546	6960	6737	6744
388	6572	6967	6750	6758
388.5	6585	6975	6767	6773
389	6603	6980	6788	6787
389.5	6612	6988	6803	6801
390	6618	6996	6822	6816
390.5	6664	7007	6842	6839
391	6710	7018	6864	6861
391.5	6748	7029	6890	6884
392	6775	7040	6917	6907
392.5	6795	7050	6940	6930
393	6819	7061	6967	6953
393.5	6841	7073	6993	6976
394	6858	7087	7021	6999
394.5	6867	7104	7050	7022
395	6877	7125	7076	7045
395.5	6902	7127	7082	7053
396	6927	7128	7087	7062
396.5	6952	7129	7093	7070
397	6978	7130	7098	7079
397.5	7003	7131	7104	7088
398	7028	7132	7109	7096
398.5	7053	7134	7114	7105
399	7077	7135	7118	7113
399.5	7099	7137	7123	7122
400	7112	7141	7131	7130
400.5	7125	7147	7140	7139
401	7138	7154	7148	7148
401.5	7148	7163	7157	7156
402	7156	7176	7165	7165
402.5	7162	7189	7174	7174
403	7167	7203	7183	7183
403.5	7172	7218	7192	7191
404	7176	7233	7201	7200
404.5	7181	7248	7209	7209
405	7186	7264	7218	7218
405.5	7191	7279	7224	7224
406	7195	7292	7229	7230
406.5	7198	7306	7233	7236
407	7201	7322	7237	7242
407.5	7202	7338	7242	7248
408	7203	7354	7247	7254
408.5	7204	7370	7252	7260
409	7205	7386	7256	7266
409.5	7206	7402	7261	7272
410	7207	7418	7265	7278
410.5	7214	7424	7273	7285
411	7217	7431	7282	7293
411.5	7220	7439	7291	7301
412	7223	7444	7300	7309
412.5	7224	7452	7309	7317
413	7227	7462	7317	7324
413.5	7229	7471	7326	7332
414	7231	7480	7334	7340
414.5	7233	7488	7342	7348
415	7235	7496	7350	7356
415.5	7252	7504	7362	7367
416	7265	7513	7375	7379
416.5	7277	7521	7386	7391
417	7285	7531	7397	7402
417.5	7293	7545	7410	7414
418	7301	7565	7423	7425
418.5	7305	7587	7435	7437
