"Age","Mean","CI","Infe","Supe"
5330,7.6534793447774,0.9,6.70763673925762,8.59559671371803
5340,7.6445447190054,0.9,6.71397766210656,8.58777485268615
5350,7.63513572276583,0.9,6.68459730920737,8.59404303883354
5360,7.6252604459052,0.9,6.71726589245138,8.58140368554325
5370,7.61492893589015,0.9,6.65995535100257,8.54248004881675
5380,7.60415681015158,0.9,6.6888162233324,8.5481528690977
5390,7.59295189030695,0.9,6.60096011896866,8.53191225722226
5400,7.58132062599295,0.9,6.64396785742009,8.56875312931847
5410,7.56927935299199,0.9,6.60610307575963,8.53142145237265
5420,7.55684282206192,0.9,6.61155534141198,8.55519975447515
5430,7.54401842214866,0.9,6.57502714462605,8.52359559195576
5440,7.53081541353384,0.9,6.530041771149,8.48911278095768
5450,7.51725046179693,0.9,6.46677668026698,8.50502035718216
5460,7.50332457067735,0.9,6.49094938841005,8.50858693287362
5470,7.48906404569329,0.9,6.49921089566221,8.47894556547323
5480,7.4744850159095,0.9,6.42864118687731,8.4980521734854
5490,7.45959692889696,0.9,6.39667564719953,8.51452134703165
5500,7.44440711066278,0.9,6.3994287199243,8.48017029814448
5510,7.42893003126053,0.9,6.39743844194041,8.49302908738775
5520,7.41317099114478,0.9,6.36503053221448,8.47434500461897
5530,7.39715811107606,0.9,6.31239822314352,8.43696067948783
5540,7.38090532814929,0.9,6.29190968889918,8.43189703717084
5550,7.3644258653048,0.9,6.27668819871144,8.40325495031071
5560,7.34773123931701,0.9,6.27803117329437,8.47368626170227
5570,7.3308253807366,0.9,6.18493010831283,8.41020643210529
5580,7.31372027050568,0.9,6.27539084395932,8.41308065449346
5590,7.2964437134064,0.9,6.21868414188209,8.4028166929128
5600,7.27900596294961,0.9,6.18632761323015,8.40926991538327
5610,7.26141948496984,0.9,6.19257700131489,8.4214516825055
5620,7.24370076852273,0.9,6.10333588589572,8.36887864919494
5630,7.22585130298589,0.9,6.08050618635298,8.33977107656663
5640,7.20788122367852,0.9,6.0306708073342,8.35492713348934
5650,7.18981493292948,0.9,5.96337158797183,8.37006249541252
5660,7.17166258663694,0.9,6.01011437263091,8.36329962295988
5670,7.15343356076653,0.9,6.01905771675047,8.31940370603484
5680,7.13514185205849,0.9,5.95508318663475,8.29565858376086
5690,7.11679763378031,0.9,5.93218385489964,8.27688344924662
5700,7.09840201972093,0.9,5.87347478286582,8.30233748183459
5710,7.0799714539244,0.9,5.88564572814648,8.35330566289037
5720,7.06152239876933,0.9,5.83804089446747,8.23991729656746
5730,7.04305720089687,0.9,5.74792867570058,8.28096765607404
5740,7.02458478477011,0.9,5.83168395289622,8.26101251011923
5750,7.00612303561335,0.9,5.76603247527499,8.30379994280471
5760,6.98766920765874,0.9,5.7009293073758,8.29276487816835
5770,6.96922799581385,0.9,5.75141986215787,8.1973351774588
5780,6.95081520821218,0.9,5.59392349308929,8.19736954036267
5790,6.93243424753027,0.9,5.60820012171335,8.23964040098619
5800,6.9140882150561,0.9,5.57881193391576,8.1579031098694
5810,6.89579150229699,0.9,5.5819569549675,8.18825484215836
5820,6.8775463907154,0.9,5.57580624663442,8.24240577522897
5830,6.85934632118145,0.9,5.5663184224385,8.21217674841141
5840,6.84119873944908,0.9,5.52309970501187,8.17352233534062
5850,6.82311474699765,0.9,5.4750415784577,8.14303600189457
5860,6.8050890224831,0.9,5.44486272817442,8.1932980531046
5870,6.78713188417008,0.9,5.40042106709928,8.13329355594147
5880,6.76924649928971,0.9,5.37715484206205,8.10299769429582
5890,6.75142301798437,0.9,5.35528890778956,8.11049620280744
5900,6.73365826231316,0.9,5.35707582683616,8.11539549616425
5910,6.71596188272999,0.9,5.29090101206256,8.09603597947895
5920,6.69833257816084,0.9,5.26919713709344,8.06883468634558
5930,6.68077167493392,0.9,5.23544415266638,8.07992882092217
5940,6.66327478183783,0.9,5.27387579979811,8.0533649868013
5950,6.64584090042711,0.9,5.24593454095226,8.09020676227616
5960,6.62845688420458,0.9,5.17728987588535,8.084818337942
5970,6.61112216099608,0.9,5.17744908231943,8.05104636009045
5980,6.59384584712767,0.9,5.13033476412701,8.03111145118239
5990,6.57661833591482,0.9,5.10654711527871,7.94101940723063
6000,6.55942999346831,0.9,5.1289184917986,8.00019668665031
6010,6.54228525751968,0.9,5.05620495809692,7.91942598042692
6020,6.52516931797394,0.9,5.03708147718211,7.96437360472032
6030,6.50806923418056,0.9,5.02651150540828,7.93125563923898
6040,6.49099428743777,0.9,4.99056874668128,7.96436334014095
6050,6.47393677890817,0.9,5.00757262951901,7.97695946751384
6060,6.45688348458337,0.9,4.92007618988507,7.9643624163617
6070,6.43983212585582,0.9,4.95112853616557,7.95951586450012
6080,6.42277740442382,0.9,4.92485762845791,7.92490077158909
6090,6.40570110550675,0.9,4.90148965811555,7.94314404794455
6100,6.38859944843395,0.9,4.79615767704121,7.93249255765395
6110,6.37147350353871,0.9,4.82657907466633,7.95279701684956
6120,6.35430775256302,0.9,4.83208207753154,7.90640727737493
6130,6.33709512845395,0.9,4.80990189555276,7.90642947279532
6140,6.31983675960852,0.9,4.79363919456816,7.8392300688887
6150,6.30251698121034,0.9,4.78921898577027,7.8628886329412
6160,6.28511783147052,0.9,4.66404955575173,7.91543291599919
6170,6.26764093088933,0.9,4.70874953708672,7.83013097659248
6180,6.25008057860349,0.9,4.59956414737489,7.81403218014777
6190,6.23242634362887,0.9,4.64197845041886,7.8118387312262
6200,6.21467499330774,0.9,4.66426274075948,7.87687974080612
6210,6.19682120324898,0.9,4.58808190484909,7.79562455129802
6220,6.17884585006088,0.9,4.58977209555801,7.82586934724124
6230,6.16073800966929,0.9,4.52568473243663,7.85296558048372
6240,6.14250506920051,0.9,4.53803528294217,7.72069045473095
6250,6.12413580386868,0.9,4.48465009235632,7.7840593763294
6260,6.10562460836472,0.9,4.48751716728681,7.80464295065525
6270,6.0869734450417,0.9,4.42320167883663,7.73904222900421
6280,6.06816636926293,0.9,4.43142431793772,7.77955245415629
6290,6.04918914354058,0.9,4.3751388222104,7.76422818161252
6300,6.03004686452164,0.9,4.3731950469279,7.63039333863762
6310,6.01073919052203,0.9,4.37006751347224,7.71082975804958
6320,5.9912599498985,0.9,4.33457985654768,7.68675305815674
6330,5.97160667988307,0.9,4.29665984179384,7.58338318913278
6340,5.9517775025681,0.9,4.26647042236041,7.58881649593492
6350,5.93176467068719,0.9,4.24940378393002,7.59983199172544
6360,5.9115583270093,0.9,4.2358251616835,7.66516972436144
6370,5.89117328321324,0.9,4.14438802110083,7.63047828004255
6380,5.87060366269309,0.9,4.14077423749015,7.46118495401626
6390,5.84984322581564,0.9,4.17522617130849,7.64017487615669
6400,5.82890403198666,0.9,4.13316575501603,7.50300718949348
6410,5.80778227844816,0.9,4.05159331929496,7.45453282565519
6420,5.78647025903177,0.9,4.01643920009828,7.5395797439668
6430,5.76497745988949,0.9,4.02003766331255,7.36637435205153
6440,5.74330988202353,0.9,4.01168272258915,7.56647548621765
6450,5.72145843183713,0.9,3.99896897761311,7.43729230767833
6460,5.69943841890641,0.9,4.0062662876752,7.44546628392126
6470,5.67726036671288,0.9,4.00925395912617,7.4228330553285
6480,5.65492043093512,0.9,3.88539313809181,7.39428426115267
6490,5.63241667080217,0.9,3.84579180385424,7.45761063147486
6500,5.43224205673768,0.9,4.09864173955449,6.77044479757877
6510,5.42496247527685,0.9,4.11921290551575,6.7770334628425
6520,5.41749655640061,0.9,4.03391184835524,6.69701955781169
6530,5.40989771293526,0.9,4.0851229305896,6.72275294463653
6540,5.40214579397423,0.9,4.06598942824031,6.72597731556276
6550,5.39423742283763,0.9,4.04950312248001,6.73525501394796
6560,5.38621138595457,0.9,4.08735771123796,6.68429527418382
6570,5.37803861844022,0.9,4.0226117524922,6.70662107462215
6580,5.36974746503128,0.9,4.03106319671308,6.70350934608223
6590,5.36136731688253,0.9,4.03204944387301,6.68388602874921
6600,5.35287096996921,0.9,4.02101733254254,6.70478343652983
6610,5.34429329288615,0.9,3.98762536462113,6.69902952725187
6620,5.33564256934954,0.9,4.03442651856543,6.6021990180395
6630,5.32690723000282,0.9,3.97045911368853,6.56363061648146
6640,5.31812628592475,0.9,3.95405828401823,6.65562953574625
6650,5.3092988660359,0.9,3.98611023922047,6.60405209837805
6660,5.3004364224333,0.9,3.95412933607395,6.6328897728471
6670,5.54302525018395,0.9,4.39677918373485,6.61329573574785
6680,5.54532721511703,0.9,4.38900074798383,6.65372952724174
6690,5.54731580519603,0.9,4.36597338181221,6.66229874820208
6700,5.5490620385658,0.9,4.31377689821985,6.70705275009891
6710,5.55060541757537,0.9,4.42807084481411,6.75131015253741
6720,5.55179597464997,0.9,4.40578785391779,6.80254033399257
6730,5.55292419196525,0.9,4.39328040778187,6.68093160634857
6740,5.55360593519213,0.9,4.38552075181323,6.71765218200917
6750,5.55421806206088,0.9,4.30790711746174,6.76001359388327
6760,5.55455258388521,0.9,4.32114603243577,6.7280214943276
6770,5.55469909534573,0.9,4.30344104812943,6.85237666514621
6780,5.55469486533699,0.9,4.33057685033365,6.71458468264313
